Date,bitcoin,russel,nasdaq
2016-11-17,740.97699,2187.120117,4828.5
2016-11-18,751.585022,2181.899902,4808.5
2016-11-21,739.247986,2198.179932,4854.0
2016-11-22,751.346985,2202.939941,4874.75
2016-11-23,744.593994,2204.719971,4849.5
2016-11-25,741.648987,2213.350098,4868.5
2016-11-28,735.812988,2201.719971,4861.0
2016-11-29,735.604004,2204.659912,4875.0
2016-11-30,745.690979,2198.810059,4816.0
2016-12-01,756.773987,2191.080078,4736.5
2016-12-02,777.94397,2191.949951,4738.5
2016-12-05,758.700012,2204.709961,4780.5
2016-12-06,764.223999,2212.22998,4786.75
2016-12-07,768.132019,2241.350098,4841.75
2016-12-08,770.809998,2246.189941,4863.0
2016-12-09,772.794006,2259.530029,4893.75
2016-12-12,780.086975,2256.959961,4867.75
2016-12-13,780.55603,2271.719971,4937.75
2016-12-14,781.481018,2253.280029,4931.75
2016-12-15,778.088013,2262.030029,4934.5
2016-12-16,784.906982,2258.070068,4943.5
2016-12-19,792.713989,2262.530029,4938.75
2016-12-20,800.875977,2270.76001,4956.0
2016-12-21,834.281006,2265.179932,4949.5
2016-12-22,864.539978,2260.959961,4936.5
2016-12-23,921.984009,2263.790039,4942.25
2016-12-27,933.197998,2268.879883,4961.25
2016-12-28,975.921021,2249.919922,4923.75
2016-12-29,973.497009,2249.26001,4918.5
2016-12-30,961.237976,2238.830078,4864.0
2017-01-03,1043.839966,2257.830078,4906.25
2017-01-04,1154.72998,2270.75,4933.5
2017-01-05,1013.380005,2269.0,4962.0
2017-01-06,902.200989,2276.97998,5004.0
2017-01-09,902.828003,2268.899902,5022.0
2017-01-10,907.679016,2268.899902,5031.25
2017-01-11,777.757019,2275.320068,5046.5
2017-01-12,804.833984,2270.439941,5034.75
2017-01-13,823.984009,2274.639893,5061.25
2017-01-17,907.937988,2267.889893,5040.25
2017-01-18,886.617981,2271.889893,5054.5
2017-01-19,899.072998,2263.689941,5053.5
2017-01-20,895.026001,2271.310059,5058.25
2017-01-23,921.012024,2265.199951,5063.5
2017-01-24,892.687012,2280.070068,5096.25
2017-01-25,901.541992,2298.370117,5146.5
2017-01-26,917.585999,2296.679932,5147.75
2017-01-27,919.75,2294.689941,5162.5
2017-01-30,920.382019,2280.899902,5124.5
2017-01-31,970.403015,2278.870117,5112.75
2017-02-01,989.02301,2279.550049,5148.5
2017-02-02,1011.799988,2280.850098,5131.0
2017-02-03,1029.910034,2297.419922,5155.0
2017-02-06,1038.150024,2292.560059,5157.75
2017-02-07,1061.349976,2293.080078,5176.75
2017-02-08,1063.069946,2294.669922,5191.25
2017-02-09,994.382996,2307.870117,5212.25
2017-02-10,988.674011,2316.100098,5226.75
2017-02-13,990.642029,2328.25,5259.25
2017-02-14,1004.549988,2337.580078,5276.0
2017-02-15,1007.47998,2349.25,5310.0
