,gold,bitcoin,cpi,oil
,close,close,close,close
date,,,,
2012-06-22,1566.9,6.6,26.11,79.76
2012-06-25,1588.4,6.3,26.11,79.21
2012-06-26,1574.9,6.4,26.11,79.36
2012-06-27,1578.4,6.7,26.1,80.21
2012-06-28,1550.4,6.6,26.13,77.69
2012-06-29,1604.2,6.7,26.1,84.96
2012-07-02,1597.7,6.8,26.21,83.75
2012-07-03,1621.8,6.4,26.24,87.66
2012-07-05,1609.4,6.7,26.27,87.22
2012-07-06,1578.9,6.7,26.23,84.45
2012-07-09,1589.1,7.0,26.2,85.99
2012-07-10,1579.8,7.2,26.22,83.91
2012-07-11,1575.7,7.2,26.17,86.19
2012-07-12,1565.3,7.8,26.18,86.46
2012-07-13,1592.0,7.7,26.18,87.5
2012-07-16,1591.6,8.5,26.24,88.81
2012-07-17,1589.5,8.8,26.25,89.54
2012-07-18,1570.8,9.1,26.24,90.17
2012-07-19,1580.4,8.9,26.26,92.97
2012-07-20,1582.8,8.5,26.26,91.83
2012-07-23,1577.4,8.4,26.27,88.14
2012-07-24,1576.2,8.6,26.25,88.5
2012-07-25,1608.1,8.8,26.25,88.97
2012-07-26,1615.1,8.9,26.29,89.39
2012-07-27,1618.0,8.9,26.33,90.13
2012-07-30,1619.7,9.1,26.34,89.78
2012-07-31,1612.4,9.4,26.36,88.06
2012-08-01,1605.1,9.6,26.33,88.91
2012-08-02,1588.6,10.5,26.29,87.13
2012-08-03,1607.1,11.0,26.27,91.4
2012-08-06,1614.1,10.9,26.31,92.2
2012-08-07,1610.7,11.1,26.33,93.67
2012-08-08,1613.9,11.1,26.31,93.35
2012-08-09,1618.1,11.1,26.29,93.36
2012-08-10,1620.7,11.4,26.3,92.87
2012-08-13,1610.6,12.0,26.32,93.03
2012-08-14,1600.4,12.2,26.3,93.74
2012-08-15,1604.6,13.3,26.25,94.62
2012-08-16,1617.1,13.5,26.22,95.89
2012-08-17,1617.3,11.6,26.24,96.32
2012-08-20,1620.9,10.1,26.25,96.26
2012-08-21,1640.7,9.9,26.27,96.84
2012-08-22,1638.3,9.8,26.3,97.26
2012-08-23,1670.6,10.1,26.36,96.27
2012-08-24,1670.7,10.6,26.37,96.15
2012-08-27,1673.3,10.9,26.39,95.47
2012-08-28,1667.4,10.9,26.39,96.33
2012-08-29,1660.7,10.9,26.4,95.49
2012-08-30,1654.8,10.8,26.37,94.62
2012-08-31,1685.3,10.2,26.36,96.47
2012-09-04,1693.6,10.4,26.47,95.3
2012-09-05,1691.6,11.0,26.47,95.36
2012-09-06,1703.2,11.2,26.45,95.53
2012-09-07,1738.0,11.0,26.48,96.42
2012-09-10,1729.2,11.2,26.54,96.54
2012-09-11,1732.3,11.3,26.51,97.5
2012-09-12,1731.1,11.4,26.51,97.34
2012-09-13,1769.5,11.4,26.49,98.63
2012-09-14,1770.1,11.7,26.58,99.33
2012-09-17,1768.0,11.9,26.54,96.95
2012-09-18,1768.7,12.3,26.53,95.62
2012-09-19,1769.3,12.6,26.56,92.3
2012-09-20,1767.8,12.3,26.58,92.42
2012-09-21,1775.6,12.4,26.57,92.89
2012-09-24,1762.2,12.1,26.58,91.93
2012-09-25,1763.9,12.2,26.58,91.37
2012-09-26,1755.7,12.3,26.56,89.98
2012-09-27,1782.6,12.3,26.56,91.85
2012-09-28,1776.1,12.4,26.61,92.19
2012-10-01,1785.5,12.4,26.59,92.48
2012-10-02,1777.7,12.8,26.6,91.89
2012-10-03,1781.9,12.9,26.61,88.14
2012-10-04,1798.6,12.9,26.62,91.71
2012-10-05,1782.9,12.7,26.63,89.88
2012-10-08,1777.8,11.8,26.58,89.33
2012-10-09,1767.1,11.9,26.58,92.78
2012-10-10,1767.2,12.1,26.53,91.64
2012-10-11,1772.7,12.0,26.53,92.5
2012-10-12,1761.8,12.0,26.56,92.28
2012-10-15,1739.7,11.8,26.53,92.32
2012-10-16,1748.4,11.9,26.53,92.54
2012-10-17,1755.2,11.8,26.54,92.59
2012-10-18,1746.9,11.9,26.53,92.53
2012-10-19,1726.1,11.7,26.5,90.44
2012-10-22,1728.4,11.7,26.45,88.65
2012-10-23,1711.5,11.6,26.44,86.67
2012-10-24,1703.7,11.6,26.41,85.73
2012-10-25,1715.0,10.9,26.37,86.05
